venue_id,venue,country,admin_area,locality,locality_id,address,latitude,longitude,old_timezone,candidate_timezone,live_count,original_coordinate_and_zone_match,live_check
1,さいたまスーパーアリーナ,JP,埼玉県,さいたま市,1,埼玉県さいたま市中央区新都心8,35.894889,139.630831,,Asia/Tokyo,16,True,consistent
2,愛知県芸術劇場 大ホール,JP,愛知県,名古屋市,2,愛知県名古屋市東区東桜1-13-2,35.170862,136.911267,,Asia/Tokyo,3,True,consistent
3,有明アリーナ,JP,東京都,,3,東京都江東区有明1-11-1,35.64343,139.7944,,Asia/Tokyo,13,True,consistent
4,河口湖ステラシアター,JP,山梨県,富士河口湖町,4,山梨県南都留郡富士河口湖町船津5577,35.48026,138.75971,,Asia/Tokyo,3,True,consistent
5,上海宛平剧院 大剧场,CN,,上海市,5,上海市徐汇区中山南二路857-859号,31.186911,121.447017,,Asia/Shanghai,1,True,consistent
6,京王アリーナTOKYO,JP,東京都,調布市,6,東京都調布市西町290-11,35.66514,139.5244,,Asia/Tokyo,10,True,consistent
7,上海静安体育中心,CN,,上海市,5,上海市静安区汶水路116号,31.29325,121.44874,,Asia/Shanghai,1,True,consistent
8,神奈川県民ホール 大ホール,JP,神奈川県,横浜市,8,神奈川県横浜市中区山下町3-1,35.445975,139.647154,,Asia/Tokyo,1,True,consistent
9,Zepp Osaka Bayside,JP,大阪府,大阪市,9,大阪府大阪市此花区桜島1-1-61,34.66201,135.43486,,Asia/Tokyo,11,True,consistent
10,国家会展中心（上海）虹馆EH,CN,,上海市,5,上海市青浦区崧泽大道333号，国家会展中心（上海）虹馆EH,31.192892,121.300132,,Asia/Shanghai,6,True,consistent
11,千葉市蘇我スポーツ公園,JP,千葉県,千葉市,7,千葉県千葉市中央区川崎町1-20,35.57479,140.124264,,Asia/Tokyo,10,True,consistent
12,日本武道館,JP,東京都,,3,東京都千代田区北の丸公園2-3,35.69336,139.74987,,Asia/Tokyo,8,True,consistent
13,横浜アリーナ,JP,神奈川県,横浜市,8,神奈川県横浜市港北区新横浜3-10,35.51227,139.62019,,Asia/Tokyo,8,True,consistent
14,Kアリーナ横浜,JP,神奈川県,横浜市,8,神奈川県横浜市西区みなとみらい6-2-14,35.46471,139.63072,,Asia/Tokyo,5,True,consistent
15,Zepp DiverCity (TOKYO),JP,東京都,,3,東京都江東区青海1-1-10、ダイバーシティ東京 プラザ,35.6254,139.7756,,Asia/Tokyo,6,True,consistent
16,グランキューブ大阪 メインホール,JP,大阪府,大阪市,9,大阪府大阪市北区中之島5-3-51、大阪府立国際会議場5F,34.68939,135.48627,,Asia/Tokyo,1,True,consistent
17,東京国際フォーラム ホールA,JP,東京都,,3,東京都千代田区丸の内3-5-1、Aブロック1-7F,35.67667,139.76444,,Asia/Tokyo,1,True,consistent
18,KT Zepp Yokohama,JP,神奈川県,横浜市,8,神奈川県横浜市西区みなとみらい4-3-6,35.45975,139.62591,,Asia/Tokyo,8,True,consistent
19,浦发银行东方体育中心,CN,,上海市,5,上海市浦东新区泳耀路300号,31.159567,121.472869,,Asia/Shanghai,2,True,consistent
20,国家会展中心（上海）,CN,,上海市,5,上海市青浦区崧泽大道333号,31.19168,121.29752,,Asia/Shanghai,5,True,consistent
21,TACHIKAWA STAGE GARDEN,JP,東京都,立川市,11,東京都立川市緑町3-3 N1,35.704805,139.411841,,Asia/Tokyo,7,True,consistent
22,LaLa arena TOKYO-BAY,JP,千葉県,船橋市,12,千葉県船橋市浜町2-5-15,35.68384,139.9897,,Asia/Tokyo,2,True,consistent
23,神戸ワールド記念ホール,JP,兵庫県,神戸市,10,兵庫県神戸市中央区港島中町6-12-2,34.66395,135.21015,,Asia/Tokyo,12,True,consistent
24,東京ガーデンシアター,JP,東京都,,3,東京都江東区有明2-1-6,35.63773,139.79204,,Asia/Tokyo,17,True,consistent
25,梅赛德斯-奔驰文化中心,CN,,上海市,5,上海市浦东新区世博大道1200号,31.191291,121.489391,,Asia/Shanghai,6,True,consistent
26,Zepp Fukuoka,JP,福岡県,福岡市,13,福岡県福岡市中央区地行浜2-2-1,33.6007,130.3786,,Asia/Tokyo,5,True,consistent
27,Zepp Namba,JP,大阪府,大阪市,9,大阪府大阪市浪速区敷津東2-1-39,34.6559,135.505,,Asia/Tokyo,4,True,consistent
28,Zepp Nagoya,JP,愛知県,名古屋市,2,愛知県名古屋市中村区平池町4-60-7,35.163362,136.884742,,Asia/Tokyo,11,True,consistent
29,Zepp Haneda (TOKYO),JP,東京都,,3,東京都大田区羽田空港1-1-4、HANEDA INNOVATION CITY ZONE H,35.5494,139.7798,,Asia/Tokyo,9,True,consistent
30,下北沢GARDEN,JP,東京都,,3,東京都世田谷区北沢2-4-5、mosia B1F,35.659268,139.671558,,Asia/Tokyo,2,True,consistent
31,SGC HALL ARIAKE,JP,東京都,,3,東京都江東区有明3-3-8、TOKYO DREAM PARK 1F,35.634,139.788,,Asia/Tokyo,6,True,consistent
33,TOYOTA ARENA TOKYO,JP,東京都,,3,東京都江東区青海1-3-1,35.62656,139.78265,,Asia/Tokyo,2,True,consistent
34,ぴあアリーナMM,JP,神奈川県,横浜市,8,神奈川県横浜市西区みなとみらい3-2-2,35.45582,139.62843,,Asia/Tokyo,6,True,consistent
35,幕張メッセ 国際展示場ホール,JP,千葉県,千葉市,7,千葉県千葉市美浜区中瀬2-1,35.648333,140.034722,,Asia/Tokyo,26,True,consistent
36,Kanadevia Hall,JP,東京都,,3,東京都文京区後楽1-3-61、MEETS PORT 1F,35.7033,139.7546,,Asia/Tokyo,12,True,consistent
37,COOL JAPAN PARK OSAKA WWホール,JP,大阪府,大阪市,9,大阪府大阪市中央区大阪城3-6,34.6847,135.5337,,Asia/Tokyo,3,True,consistent
38,神戸国際会館こくさいホール,JP,兵庫県,神戸市,10,兵庫県神戸市中央区御幸通8-1-6、神戸国際会館,34.69226,135.19584,,Asia/Tokyo,1,True,consistent
39,Crypto.com Arena,US,CA,Los Angeles,35,"1111 S Figueroa St, Los Angeles, CA 90015",34.04302,-118.26687,,America/Los_Angeles,1,True,consistent
40,LOFT/PLUSONE,JP,東京都,,3,東京都新宿区歌舞伎町1-14-7、林ビルB2F,35.694596,139.702177,,Asia/Tokyo,2,True,consistent
41,大佳河濱公園,TW,,臺北市,25,臺北市中山區濱江街5號,25.076,121.535,,Asia/Taipei,2,True,consistent
42,東京ビッグサイト,JP,東京都,,3,東京都江東区有明3-11-1,35.630161,139.793739,,Asia/Tokyo,32,True,consistent
43,松下IMPホール,JP,大阪府,大阪市,9,大阪府大阪市中央区城見1-3-7、松下IMPビル2F,34.69172,135.53069,,Asia/Tokyo,4,True,consistent
44,Zepp New Taipei,TW,,新北市,19,新北市新莊區新北大道四段3號8樓,25.05968,121.44957,,Asia/Taipei,3,True,consistent
45,KOREA UNIV. TIGER DOME,KR,,Seoul,20,"145 Anam-ro, Seongbuk-gu, Seoul 02841",37.59255,127.0249,,Asia/Seoul,1,True,consistent
46,The Star Theatre,SG,,,21,"The Star, 1 Vista Exchange Green, Singapore 138617",1.30692,103.788394,,Asia/Singapore,1,True,consistent
47,おおきにアリーナ舞洲,JP,大阪府,大阪市,9,大阪府大阪市此花区北港緑地2-2-15,34.665566,135.39762,,Asia/Tokyo,1,True,consistent
48,幕張メッセ イベントホール,JP,千葉県,千葉市,7,千葉県千葉市美浜区中瀬2-1,35.64823,140.0347,,Asia/Tokyo,5,True,consistent
49,朝日生命ホール,JP,大阪府,大阪市,9,大阪府大阪市中央区高麗橋4-2-16,34.6898,135.50031,,Asia/Tokyo,2,True,consistent
50,Lives NAGOYA,JP,愛知県,名古屋市,2,愛知県名古屋市港区金城ふ頭2-7-1、Maker's Pier,35.05,136.846916,,Asia/Tokyo,2,True,consistent
51,日経ホール,JP,東京都,,3,東京都千代田区大手町1-3-7、日経ビル3F,35.688741,139.76233,,Asia/Tokyo,4,True,consistent
52,飛行船シアター,JP,東京都,,3,東京都台東区東上野4-24-11,35.715561,139.782013,,Asia/Tokyo,13,True,consistent
53,大宮ソニックシティ 大ホール,JP,埼玉県,さいたま市,1,埼玉県さいたま市大宮区桜木町1-7-5,35.9069,139.6237,,Asia/Tokyo,1,True,consistent
54,代官山UNIT,JP,東京都,,3,東京都渋谷区恵比寿西1-34-17、ZaHOUSEビルB2F,35.647112,139.702325,,Asia/Tokyo,2,True,consistent
55,アニメイトシアター,JP,東京都,,3,東京都豊島区東池袋1-20-7、アニメイト池袋本店 北館B2F,35.73131,139.71554,,Asia/Tokyo,1,True,consistent
56,学校跡地の飯田橋でっかいレンタルスペース,JP,東京都,,3,東京都新宿区揚場町2-28,35.702144,139.740455,,Asia/Tokyo,2,True,consistent
57,イイノホール,JP,東京都,,3,東京都千代田区内幸町2-1-1,35.67098,139.750627,,Asia/Tokyo,2,True,consistent
58,駒場公園,JP,長野県,佐久市,22,長野県佐久市猿久保字丸山55,36.254864,138.485756,,Asia/Tokyo,3,True,consistent
59,duo MUSIC EXCHANGE,JP,東京都,,3,東京都渋谷区道玄坂2-14-8、O-EASTビル1F,35.658715,139.695526,,Asia/Tokyo,5,True,consistent
60,国営ひたち海浜公園,JP,茨城県,ひたちなか市,14,茨城県ひたちなか市馬渡字大沼605-4,36.4025,140.5943,,Asia/Tokyo,6,True,consistent
61,GARDEN 新木場 FACTORY,JP,東京都,,3,東京都江東区新木場2-8-2,35.638599,139.827756,,Asia/Tokyo,6,True,consistent
62,Zepp Sapporo,JP,北海道,札幌市,15,北海道札幌市中央区南9条西4-4,43.04935,141.35317,,Asia/Tokyo,4,True,consistent
63,Smart Araneta Coliseum,PH,Metro Manila,Quezon City,16,"General Araneta Ave, Quezon City 1109, Philippines",14.62071,121.0534,,Asia/Manila,1,True,consistent
64,桃園会展中心,TW,,桃園市,17,桃園市中壢區領航北路一段99號,25.0032,121.2004,,Asia/Taipei,1,True,consistent
65,UMEDA CLUB QUATTRO,JP,大阪府,大阪市,9,大阪府大阪市北区太融寺町8-17、プラザ梅田10F,34.701767,135.502308,,Asia/Tokyo,1,True,consistent
66,NAGOYA CLUB QUATTRO,JP,愛知県,名古屋市,2,愛知県名古屋市中区栄3-29-1、名古屋パルコ東館8F,35.16371,136.908338,,Asia/Tokyo,1,True,consistent
67,Spotify O-EAST,JP,東京都,,3,東京都渋谷区道玄坂2-14-8、O-EASTビル2F,35.658715,139.695526,,Asia/Tokyo,1,True,consistent
68,豊洲PIT,JP,東京都,,3,東京都江東区豊洲6-1-23,35.64968,139.78831,,Asia/Tokyo,2,True,consistent
